Datetime,Open,High,Low,Close,Volume,RSI14,MA5,MA25,MA75
2026-07-30T09:00:00+0900,464.0,464.0,459.0,463.0,0.0,,,,
2026-07-30T10:00:00+0900,463.0,466.0,462.0,465.0,24400.0,,,,
2026-07-30T11:00:00+0900,464.0,465.0,464.0,464.0,3300.0,,,,
2026-07-30T12:00:00+0900,465.0,467.0,463.0,465.0,18500.0,,,,
2026-07-30T13:00:00+0900,466.0,469.0,466.0,466.0,18000.0,,464.6,,
2026-07-30T14:00:00+0900,467.0,469.0,466.0,468.0,17300.0,,465.6,,
2026-07-30T15:00:00+0900,467.0,473.0,467.0,472.0,92800.0,,467.0,,
2026-07-31T09:00:00+0900,470.0,470.0,459.0,464.0,0.0,,467.0,,
2026-07-31T10:00:00+0900,465.0,468.0,465.0,465.0,26400.0,,467.0,,
2026-07-31T11:00:00+0900,466.0,473.0,466.0,470.0,13400.0,,467.8,,
2026-07-31T12:00:00+0900,469.0,470.0,467.0,469.0,11500.0,,468.0,,
2026-07-31T13:00:00+0900,469.0,471.0,465.0,471.0,24300.0,,467.8,,
2026-07-31T14:00:00+0900,470.0,472.0,470.0,471.0,9700.0,,469.2,,
2026-07-31T15:00:00+0900,471.0,472.0,470.0,470.0,13000.0,,470.2,,
2026-08-03T09:00:00+0900,484.0,494.0,480.0,486.0,37600.0,84.2,473.4,,
2026-08-03T10:00:00+0900,485.0,487.0,480.0,483.0,43700.0,78.4,476.2,,
2026-08-03T11:00:00+0900,482.0,488.0,482.0,484.0,12500.0,78.9,478.8,,
2026-08-03T12:00:00+0900,485.0,488.0,481.0,484.0,50400.0,78.9,481.4,,
2026-08-03T13:00:00+0900,484.0,492.0,484.0,490.0,66800.0,82.0,485.4,,
2026-08-03T14:00:00+0900,491.0,492.0,490.0,490.0,24700.0,82.0,486.2,,
2026-08-03T15:00:00+0900,490.0,491.0,486.0,487.0,40100.0,75.6,487.0,,
2026-08-04T09:00:00+0900,490.0,491.0,486.0,488.0,0.0,76.3,487.8,,
2026-08-04T10:00:00+0900,487.0,490.0,486.0,488.0,16100.0,76.3,488.6,,
2026-08-04T11:00:00+0900,489.0,489.0,486.0,487.0,5000.0,74.0,488.0,,
