Date,Open,High,Low,Close,Volume,RSI14,MA5,MA25,MA75
2025-09-24,354.0,356.0,349.0,353.0,20000.0,,,,
2025-09-25,354.0,357.0,352.0,357.0,12300.0,,,,
2025-09-26,356.0,356.0,352.0,352.0,42900.0,,,,
2025-09-29,352.0,353.0,348.0,348.0,33500.0,,,,
2025-09-30,347.0,350.0,343.0,346.0,20700.0,,351.2,,
2025-10-01,344.0,347.0,341.0,341.0,21000.0,,348.8,,
2025-10-02,342.0,347.0,342.0,347.0,21500.0,,346.8,,
2025-10-03,347.0,348.0,345.0,348.0,24300.0,,346.0,,
2025-10-06,345.0,353.0,345.0,352.0,30900.0,,346.8,,
2025-10-07,355.0,356.0,351.0,354.0,41800.0,,348.4,,
2025-10-08,356.0,356.0,350.0,350.0,19800.0,,350.2,,
2025-10-09,349.0,350.0,347.0,349.0,14000.0,,350.6,,
2025-10-10,351.0,351.0,343.0,343.0,30400.0,,349.6,,
2025-10-14,341.0,344.0,333.0,341.0,48300.0,,347.4,,
2025-10-15,343.0,343.0,340.0,343.0,4500.0,63.2,345.2,,
2025-10-16,345.0,345.0,342.0,343.0,6400.0,63.2,343.8,,
2025-10-17,344.0,344.0,342.0,342.0,7600.0,61.8,342.4,,
2025-10-20,343.0,344.0,342.0,344.0,11800.0,63.6,342.6,,
2025-10-21,345.0,345.0,341.0,342.0,16200.0,60.5,342.8,,
2025-10-22,342.0,349.0,342.0,349.0,18700.0,66.6,344.0,,
2025-10-23,350.0,355.0,345.0,353.0,33400.0,69.5,346.0,,
2025-10-24,351.0,354.0,349.0,349.0,14400.0,63.6,347.4,,
2025-10-27,353.0,353.0,349.0,350.0,14500.0,64.4,348.6,,
2025-10-28,350.0,350.0,346.0,346.0,18900.0,58.7,349.4,,
2025-10-29,346.0,352.0,342.0,343.0,16700.0,54.8,348.2,347.4,
2025-10-30,344.0,345.0,340.0,341.0,12700.0,52.3,345.8,346.9,
2025-10-31,340.0,343.0,340.0,341.0,14700.0,52.3,344.2,346.3,
2025-11-04,338.0,342.0,337.0,341.0,16500.0,52.3,342.4,345.8,
