Date,Open,High,Low,Close,Volume,RSI14,MA5,MA25,MA75
2025-09-16,37880.0,37910.0,37650.0,37910.0,188.0,,,,
2025-09-17,37750.0,37750.0,37280.0,37630.0,518.0,,,,
2025-09-18,37700.0,37700.0,37190.0,37490.0,450.0,,,,
2025-09-19,37560.0,37840.0,37360.0,37480.0,497.0,,,,
2025-09-22,37430.0,37650.0,37240.0,37240.0,202.0,,37550.0,,
2025-09-24,37160.0,37190.0,37000.0,37180.0,427.0,,37404.0,,
2025-09-25,37350.0,37440.0,37220.0,37220.0,119.0,,37322.0,,
2025-09-26,37280.0,37770.0,37280.0,37750.0,2243.0,,37374.0,,
2025-09-29,37890.0,37890.0,37270.0,37400.0,139.0,,37358.0,,
2025-09-30,37460.0,37460.0,37100.0,37390.0,175.0,,37388.0,,
2025-10-01,37300.0,37300.0,36540.0,36580.0,1122.0,,37268.0,,
2025-10-02,36580.0,36850.0,36280.0,36380.0,243.0,,37100.0,,
2025-10-03,36540.0,36750.0,36540.0,36750.0,77.0,,36900.0,,
2025-10-06,38100.0,38100.0,37500.0,37890.0,789.0,,36998.0,,
2025-10-07,37990.0,38030.0,37710.0,37830.0,146.0,38.4,37086.0,,
2025-10-08,37980.0,38290.0,37800.0,37800.0,244.0,38.1,37330.0,,
2025-10-09,37910.0,38050.0,37770.0,37910.0,146.0,39.8,37636.0,,
2025-10-10,37640.0,37640.0,37160.0,37210.0,381.0,33.5,37728.0,,
2025-10-14,36620.0,37200.0,36530.0,36530.0,165.0,28.7,37456.0,,
2025-10-15,37090.0,37380.0,37090.0,37160.0,203.0,37.6,37322.0,,
2025-10-16,37660.0,37740.0,37380.0,37600.0,161.0,42.9,37282.0,,
2025-10-17,37280.0,37540.0,37270.0,37360.0,115.0,40.9,37172.0,,
2025-10-20,38000.0,38110.0,37700.0,37970.0,104.0,47.7,37324.0,,
2025-10-21,38190.0,38190.0,37830.0,37880.0,165.0,46.9,37594.0,,
2025-10-22,38000.0,38880.0,38000.0,38770.0,678.0,55.4,37916.0,37452.4,
2025-10-23,38680.0,38930.0,38450.0,38900.0,290.0,56.5,38176.0,37492.0,
2025-10-27,39850.0,39850.0,39470.0,39730.0,224.0,62.9,38650.0,37576.0,
2025-10-28,39500.0,39500.0,38550.0,38670.0,1137.0,52.4,38790.0,37623.2,
2025-10-29,39370.0,39370.0,38750.0,38820.0,715.0,53.6,38978.0,37676.8,
2025-10-30,38800.0,39120.0,38550.0,39020.0,94.0,55.2,39028.0,37748.0,
2025-10-31,39300.0,39330.0,38890.0,38940.0,844.0,54.3,39036.0,37818.4,
2025-11-04,39060.0,39460.0,38940.0,39160.0,173.0,56.2,38922.0,37896.0,
2025-11-05,38940.0,39470.0,38000.0,39470.0,1579.0,58.8,39082.0,37964.8,
2025-11-06,39890.0,39940.0,39720.0,39820.0,77.0,61.6,39282.0,38061.6,
2025-11-07,39500.0,39780.0,39310.0,39610.0,786.0,59.0,39400.0,38150.4,
2025-11-10,39910.0,40390.0,39910.0,40390.0,275.0,64.9,39690.0,38302.8,
2025-11-11,40510.0,40890.0,40120.0,40850.0,1569.0,67.8,40028.0,38481.6,
2025-11-12,41000.0,41000.0,40560.0,40850.0,1431.0,67.8,40304.0,38645.6,
2025-11-13,41020.0,41340.0,40820.0,41320.0,889.0,70.7,40604.0,38782.8,
2025-11-14,40620.0,41100.0,40600.0,40870.0,694.0,64.7,40856.0,38904.4,
2025-11-17,40820.0,40890.0,40490.0,40800.0,555.0,63.8,40938.0,39024.4,
2025-11-18,40510.0,40640.0,39940.0,40270.0,587.0,57.3,40822.0,39118.8,
