Date,Open,High,Low,Close,Volume,RSI14,MA5,MA25,MA75
2025-09-18,580.0,599.0,580.0,597.0,19100.0,,,,
2025-09-19,597.0,612.0,572.0,593.0,101200.0,,,,
2025-09-22,594.0,594.0,583.0,593.0,23500.0,,,,
2025-09-24,587.0,590.0,572.0,590.0,7900.0,,,,
2025-09-25,589.0,599.0,584.0,596.0,13400.0,,593.8,,
2025-09-26,591.0,596.0,587.0,593.0,6600.0,,593.0,,
2025-09-29,593.0,598.0,585.0,595.0,20300.0,,593.4,,
2025-09-30,595.0,595.0,587.0,590.0,7500.0,,592.8,,
2025-10-01,600.0,604.0,583.0,588.0,37400.0,,592.4,,
2025-10-02,583.0,595.0,555.0,593.0,14300.0,,591.8,,
2025-10-03,593.0,604.0,581.0,594.0,13700.0,,592.0,,
2025-10-06,594.0,600.0,585.0,587.0,12400.0,,590.4,,
2025-10-07,584.0,596.0,576.0,584.0,12000.0,,589.2,,
2025-10-08,584.0,598.0,581.0,591.0,27600.0,,589.8,,
2025-10-09,592.0,600.0,587.0,600.0,67500.0,39.2,591.2,,
2025-10-10,600.0,600.0,572.0,585.0,63100.0,30.9,589.4,,
2025-10-14,575.0,580.0,550.0,567.0,32000.0,24.3,585.4,,
2025-10-15,565.0,582.0,565.0,572.0,19300.0,28.9,583.0,,
2025-10-16,575.0,581.0,564.0,576.0,11400.0,32.4,580.0,,
2025-10-17,579.0,580.0,566.0,571.0,21400.0,30.4,574.2,,
2025-10-20,570.0,576.0,567.0,567.0,11000.0,28.8,570.6,,
2025-10-21,566.0,573.0,550.0,560.0,20400.0,26.3,569.2,,
2025-10-22,558.0,564.0,549.0,552.0,16400.0,23.7,565.2,,
2025-10-23,552.0,557.0,552.0,553.0,8700.0,24.7,560.6,,
2025-10-24,552.0,556.0,551.0,555.0,4000.0,26.8,557.4,581.7,
2025-10-27,551.0,554.0,549.0,550.0,8800.0,24.9,554.0,579.8,
2025-10-28,543.0,552.0,535.0,546.0,24400.0,23.6,551.2,577.9,
2025-10-29,545.0,546.0,540.0,546.0,8100.0,23.6,550.0,576.0,
2025-10-30,540.0,545.0,536.0,543.0,9800.0,22.5,548.0,574.2,
2025-10-31,543.0,547.0,537.0,537.0,1500.0,20.4,544.4,571.8,
2025-11-04,537.0,555.0,537.0,552.0,7100.0,36.0,544.8,570.2,
2025-11-05,558.0,559.0,540.0,552.0,30100.0,36.0,546.0,568.4,
2025-11-06,552.0,558.0,551.0,557.0,4100.0,40.5,548.2,567.1,
2025-11-07,550.0,558.0,550.0,553.0,9500.0,38.2,550.2,565.7,
2025-11-10,551.0,560.0,549.0,559.0,6900.0,43.4,554.6,564.4,
2025-11-11,555.0,559.0,555.0,559.0,11400.0,43.4,556.0,563.0,
2025-11-12,556.0,560.0,548.0,556.0,9800.0,41.3,556.8,561.7,
2025-11-13,554.0,565.0,554.0,562.0,3100.0,46.7,557.8,560.8,
2025-11-14,562.0,563.0,555.0,561.0,4000.0,45.9,559.4,559.6,
2025-11-17,563.0,563.0,555.0,555.0,8500.0,41.6,558.6,557.8,
2025-11-18,555.0,563.0,553.0,557.0,11000.0,43.5,558.2,556.7,
2025-11-19,555.0,560.0,555.0,558.0,2200.0,44.5,558.6,556.4,
2025-11-20,558.0,562.0,542.0,554.0,11400.0,41.4,557.0,555.6,
2025-11-21,553.0,558.0,550.0,553.0,4600.0,40.7,555.4,554.7,
2025-11-25,553.0,562.0,546.0,557.0,12800.0,45.0,555.8,554.2,
2025-11-26,552.0,557.0,549.0,555.0,5300.0,43.3,555.4,553.7,
2025-11-27,555.0,560.0,555.0,560.0,2200.0,48.5,555.8,553.7,
2025-11-28,560.0,560.0,549.0,557.0,15200.0,45.8,556.4,553.9,
2025-12-01,554.0,559.0,543.0,549.0,15000.0,39.4,555.6,553.7,
2025-12-02,543.0,558.0,540.0,554.0,11800.0,44.6,555.0,553.7,
2025-12-03,559.0,559.0,550.0,554.0,2100.0,44.6,554.8,553.8,
2025-12-04,545.0,556.0,545.0,555.0,6400.0,45.7,553.8,554.2,
2025-12-05,553.0,557.0,550.0,557.0,2600.0,47.9,553.8,554.6,
2025-12-08,557.0,560.0,554.0,554.0,3900.0,45.0,554.8,555.1,
2025-12-09,555.0,558.0,550.0,556.0,3100.0,47.3,555.2,555.8,
2025-12-10,556.0,556.0,549.0,556.0,5400.0,47.3,555.6,556.0,
2025-12-11,558.0,558.0,551.0,551.0,6200.0,42.1,554.8,556.0,
2025-12-12,551.0,555.0,546.0,549.0,6800.0,40.2,553.2,555.6,
2025-12-15,556.0,557.0,550.0,550.0,6100.0,41.7,552.4,555.5,
2025-12-16,554.0,561.0,553.0,559.0,8600.0,52.5,553.0,555.5,
2025-12-17,559.0,562.0,553.0,553.0,2600.0,46.3,552.4,555.3,
2025-12-18,556.0,560.0,551.0,552.0,4700.0,45.4,552.6,555.1,
2025-12-19,552.0,561.0,552.0,560.0,1100.0,53.6,554.8,555.0,
2025-12-22,560.0,564.0,556.0,556.0,1200.0,49.6,556.0,554.8,
2025-12-23,556.0,560.0,542.0,551.0,8800.0,45.0,554.4,554.7,
2025-12-24,547.0,557.0,547.0,554.0,8600.0,48.1,554.6,554.6,
2025-12-25,554.0,554.0,548.0,552.0,3200.0,46.2,554.6,554.3,
2025-12-26,550.0,564.0,547.0,561.0,17300.0,54.7,554.8,554.6,
2025-12-29,553.0,567.0,553.0,567.0,7100.0,59.4,557.0,555.2,
2025-12-30,567.0,588.0,567.0,588.0,11400.0,70.6,564.4,556.4,
2026-01-05,580.0,590.0,564.0,590.0,23000.0,71.4,571.6,557.8,
2026-01-06,595.0,596.0,572.0,594.0,8500.0,73.1,580.0,559.2,
2026-01-07,594.0,594.0,578.0,594.0,8400.0,73.1,586.6,560.6,
2026-01-08,594.0,596.0,572.0,582.0,30600.0,61.1,589.6,562.0,
2026-01-09,588.0,595.0,572.0,585.0,51900.0,62.7,589.0,563.2,566.2
2026-01-13,577.0,590.0,576.0,582.0,18700.0,60.0,587.4,564.3,566.0
2026-01-14,581.0,584.0,573.0,580.0,11400.0,58.2,584.6,565.3,565.8
2026-01-15,582.0,584.0,578.0,582.0,9300.0,59.5,582.2,566.3,565.7
2026-01-16,582.0,582.0,576.0,581.0,3600.0,58.5,582.0,567.4,565.5
2026-01-19,580.0,583.0,576.0,582.0,8300.0,59.3,581.4,568.4,565.4
2026-01-20,588.0,590.0,582.0,589.0,15600.0,64.0,582.8,569.8,565.3
2026-01-21,579.0,591.0,576.0,587.0,7000.0,61.8,584.2,571.2,565.2
2026-01-22,587.0,588.0,578.0,588.0,5700.0,62.5,585.4,572.8,565.2
2026-01-23,588.0,591.0,582.0,588.0,5000.0,62.5,586.8,574.3,565.2
2026-01-26,588.0,588.0,584.0,588.0,2400.0,62.5,588.0,575.4,565.1
2026-01-27,588.0,588.0,576.0,578.0,8700.0,50.8,585.8,576.4,564.9
2026-01-28,578.0,581.0,571.0,579.0,5000.0,51.8,584.2,577.5,564.8
2026-01-29,580.0,580.0,574.0,579.0,3100.0,51.8,582.4,578.3,564.7
2026-01-30,579.0,580.0,575.0,579.0,1800.0,51.8,580.6,579.2,564.6
2026-02-02,573.0,579.0,572.0,573.0,4400.0,45.1,577.6,580.1,564.2
2026-02-03,568.0,574.0,568.0,572.0,3500.0,44.1,576.4,580.8,564.0
2026-02-04,566.0,575.0,566.0,573.0,5300.0,45.4,575.2,581.6,564.1
2026-02-05,574.0,574.0,567.0,572.0,2200.0,44.3,573.8,582.1,564.1
2026-02-06,570.0,571.0,565.0,571.0,1800.0,43.1,572.2,582.2,564.0
2026-02-09,571.0,572.0,559.0,560.0,10700.0,32.9,569.6,581.1,563.9
2026-02-10,563.0,566.0,557.0,560.0,5300.0,32.9,567.2,579.9,563.8
2026-02-12,566.0,570.0,561.0,569.0,3400.0,45.2,566.4,578.9,563.9
2026-02-13,572.0,573.0,564.0,568.0,2800.0,44.2,565.6,577.9,564.1
2026-02-16,568.0,568.0,563.0,563.0,1500.0,39.6,564.0,577.1,564.3
2026-02-17,561.0,563.0,559.0,559.0,4000.0,36.4,563.8,576.1,564.3
2026-02-18,563.0,567.0,558.0,565.0,6800.0,43.8,564.8,575.4,564.5
2026-02-19,562.0,568.0,559.0,566.0,3600.0,45.0,564.2,574.8,564.8
2026-02-20,565.0,592.0,560.0,572.0,45400.0,51.4,565.0,574.4,565.1
2026-02-24,590.0,590.0,575.0,579.0,13800.0,57.7,568.2,574.4,565.6
2026-02-25,583.0,587.0,576.0,581.0,18000.0,59.3,572.6,574.3,566.2
2026-02-26,580.0,580.0,565.0,579.0,4200.0,57.0,575.4,573.9,566.6
2026-02-27,575.0,580.0,574.0,574.0,4900.0,51.5,577.0,573.4,566.9
2026-03-02,573.0,573.0,565.0,570.0,4900.0,47.6,576.6,572.7,567.0
2026-03-03,572.0,572.0,553.0,553.0,21000.0,35.3,571.4,571.3,567.0
2026-03-04,550.0,560.0,542.0,552.0,8500.0,34.7,565.6,569.8,566.9
2026-03-05,562.0,571.0,560.0,567.0,1900.0,48.2,563.2,569.4,567.0
2026-03-06,563.0,570.0,563.0,570.0,2800.0,50.4,562.4,569.0,567.2
2026-03-09,550.0,572.0,550.0,567.0,3600.0,48.2,561.8,568.6,567.3
2026-03-10,564.0,572.0,564.0,566.0,2500.0,47.4,564.4,568.0,567.4
2026-03-11,569.0,577.0,562.0,574.0,10400.0,53.6,568.8,568.1,567.6
2026-03-12,575.0,582.0,566.0,582.0,10700.0,58.9,571.8,568.5,567.9
2026-03-13,582.0,584.0,576.0,581.0,10300.0,58.0,574.0,568.8,568.3
2026-03-16,583.0,585.0,576.0,582.0,6800.0,58.6,577.0,569.2,568.6
2026-03-17,581.0,585.0,578.0,579.0,2200.0,55.8,579.6,569.5,569.0
2026-03-18,578.0,583.0,575.0,579.0,12000.0,55.8,580.6,570.3,569.3
2026-03-19,574.0,579.0,556.0,559.0,6600.0,40.5,576.0,570.2,569.3
2026-03-23,557.0,567.0,540.0,549.0,7300.0,35.3,569.6,569.4,569.2
2026-03-24,551.0,580.0,550.0,559.0,9300.0,43.2,565.0,569.1,569.2
2026-03-25,559.0,570.0,553.0,564.0,11700.0,46.7,562.0,569.1,569.4
2026-03-26,558.0,564.0,558.0,558.0,6800.0,43.2,557.8,569.1,569.5
2026-03-27,558.0,558.0,551.0,554.0,4300.0,41.1,556.8,568.6,569.5
2026-03-30,533.0,560.0,531.0,551.0,13000.0,39.5,557.2,568.0,569.4
2026-03-31,554.0,560.0,547.0,554.0,2800.0,41.9,556.2,567.3,569.4
2026-04-01,553.0,555.0,550.0,555.0,12200.0,42.7,554.4,566.4,569.4
2026-04-02,554.0,554.0,551.0,554.0,2300.0,42.1,553.6,565.3,569.3
2026-04-03,552.0,560.0,548.0,560.0,4000.0,47.2,554.8,564.5,569.4
2026-04-06,559.0,573.0,559.0,569.0,4100.0,53.9,558.4,564.3,569.6
2026-04-07,564.0,570.0,564.0,569.0,1000.0,53.9,561.4,564.3,569.9
2026-04-08,571.0,574.0,565.0,574.0,6400.0,57.3,565.2,565.1,570.2
2026-04-09,571.0,578.0,550.0,550.0,27800.0,41.3,564.4,565.0,570.1
2026-04-10,535.0,545.0,535.0,543.0,24400.0,38.0,561.0,564.1,570.0
2026-04-13,543.0,564.0,538.0,556.0,22600.0,46.6,558.4,563.5,570.0
2026-04-14,557.0,563.0,555.0,556.0,4100.0,46.6,555.8,563.1,570.0
2026-04-15,555.0,559.0,541.0,557.0,9800.0,47.3,552.4,562.7,570.0
2026-04-16,557.0,558.0,550.0,556.0,9600.0,46.6,553.6,562.0,570.1
2026-04-17,557.0,558.0,550.0,556.0,22100.0,46.6,556.2,561.0,570.1
2026-04-20,555.0,555.0,550.0,550.0,6000.0,42.8,555.0,559.7,570.1
2026-04-21,549.0,554.0,544.0,554.0,4400.0,46.0,554.6,558.6,570.0
2026-04-22,554.0,554.0,551.0,554.0,2200.0,46.0,554.0,557.6,569.8
2026-04-23,554.0,554.0,548.0,548.0,2900.0,41.9,552.4,556.4,569.3
2026-04-24,547.0,554.0,545.0,553.0,6500.0,46.2,551.8,556.1,568.8
2026-04-27,553.0,553.0,552.0,552.0,400.0,45.5,552.2,556.2,568.2
2026-04-28,549.0,553.0,548.0,553.0,800.0,46.4,552.0,556.0,567.7
2026-04-30,553.0,553.0,545.0,553.0,4200.0,46.4,551.8,555.6,567.3
2026-05-01,548.0,554.0,545.0,547.0,9400.0,41.6,551.6,555.1,566.8
2026-05-07,549.0,554.0,547.0,550.0,2800.0,44.7,551.0,555.0,566.3
2026-05-08,550.0,553.0,546.0,553.0,6600.0,47.6,551.2,555.0,566.0
2026-05-11,550.0,553.0,548.0,550.0,3400.0,45.0,550.6,554.9,565.5
2026-05-12,552.0,552.0,548.0,552.0,1200.0,47.1,550.4,554.8,565.2
2026-05-13,553.0,553.0,550.0,552.0,1500.0,47.1,551.4,554.7,564.8
2026-05-14,553.0,553.0,545.0,552.0,7400.0,47.1,551.8,554.4,564.3
2026-05-15,552.0,553.0,548.0,550.0,10200.0,45.0,551.2,553.6,563.8
2026-05-18,552.0,552.0,549.0,552.0,900.0,47.5,551.6,552.9,563.3
2026-05-19,550.0,553.0,549.0,553.0,3300.0,48.8,551.8,552.1,562.8
2026-05-20,549.0,553.0,546.0,550.0,3900.0,45.2,551.4,552.1,562.3
2026-05-21,553.0,553.0,546.0,553.0,3600.0,49.2,551.6,552.5,562.0
2026-05-22,553.0,553.0,549.0,552.0,700.0,48.0,552.0,552.3,561.6
2026-05-25,551.0,552.0,549.0,550.0,1700.0,45.5,551.6,552.1,561.2
2026-05-26,552.0,552.0,546.0,552.0,3200.0,48.4,551.4,551.9,560.9
2026-05-27,548.0,552.0,546.0,552.0,12500.0,48.4,551.8,551.7,560.6
2026-05-28,551.0,551.0,541.0,551.0,10000.0,46.9,551.4,551.5,560.3
2026-05-29,547.0,552.0,540.0,552.0,13700.0,48.6,551.4,551.6,560.0
2026-06-01,552.0,553.0,550.0,553.0,3300.0,50.3,552.0,551.6,559.8
2026-06-02,551.0,572.0,551.0,568.0,8400.0,67.4,555.2,552.1,559.7
2026-06-03,560.0,569.0,560.0,568.0,800.0,67.4,558.4,552.9,559.9
2026-06-04,568.0,568.0,553.0,564.0,5100.0,60.9,561.0,553.4,559.9
2026-06-05,561.0,566.0,556.0,565.0,3300.0,61.9,563.6,553.9,559.9
2026-06-08,555.0,566.0,553.0,566.0,3800.0,62.9,566.2,554.4,559.8
2026-06-09,563.0,567.0,562.0,562.0,12100.0,56.5,565.0,554.8,559.8
2026-06-10,564.0,568.0,555.0,564.0,4800.0,58.7,564.2,555.4,559.9
2026-06-11,561.0,564.0,561.0,564.0,900.0,58.7,564.2,556.0,559.9
2026-06-12,560.0,564.0,558.0,564.0,1400.0,58.7,564.0,556.4,559.8
2026-06-15,562.0,564.0,556.0,562.0,2100.0,55.1,563.2,556.9,559.7
2026-06-16,562.0,563.0,559.0,563.0,1200.0,56.6,563.4,557.4,559.5
2026-06-17,559.0,563.0,558.0,558.0,400.0,48.3,562.2,557.6,559.2
2026-06-18,559.0,560.0,553.0,560.0,7000.0,51.3,561.4,557.9,558.9
2026-06-19,557.0,563.0,557.0,560.0,1400.0,51.3,560.6,558.3,558.7
2026-06-22,556.0,563.0,554.0,559.0,5900.0,49.6,560.0,558.6,558.6
2026-06-23,555.0,558.0,555.0,557.0,1800.0,46.3,558.8,558.8,558.7
2026-06-24,555.0,563.0,555.0,558.0,3200.0,48.2,558.8,559.1,558.7
2026-06-25,555.0,560.0,550.0,556.0,5000.0,44.8,558.0,559.2,558.6
2026-06-26,559.0,562.0,553.0,553.0,2700.0,40.3,556.6,559.2,558.4
2026-06-29,553.0,561.0,553.0,558.0,3800.0,49.5,556.4,559.6,558.2
2026-06-30,556.0,562.0,552.0,561.0,5000.0,54.0,557.2,559.9,558.2
2026-07-01,561.0,561.0,556.0,560.0,1000.0,52.3,557.6,560.2,558.0
2026-07-02,556.0,562.0,555.0,562.0,4300.0,55.4,558.8,560.7,557.7
2026-07-03,563.0,563.0,557.0,561.0,1100.0,53.5,560.4,561.0,557.5
2026-07-06,563.0,563.0,552.0,563.0,10700.0,56.6,561.4,561.4,557.2
2026-07-07,560.0,561.0,558.0,561.0,1700.0,52.8,561.4,561.2,557.0
2026-07-08,561.0,561.0,549.0,556.0,7200.0,44.8,560.6,560.7,556.7
2026-07-09,548.0,558.0,548.0,556.0,5600.0,44.8,559.4,560.4,556.6
2026-07-10,554.0,556.0,547.0,555.0,18400.0,43.3,558.2,560.0,556.7
2026-07-13,555.0,555.0,550.0,551.0,4400.0,37.7,555.8,559.4,556.6
2026-07-14,549.0,557.0,549.0,557.0,5400.0,48.4,555.0,559.2,556.5
2026-07-15,557.0,560.0,553.0,560.0,4100.0,52.8,555.8,559.0,556.5
2026-07-16,560.0,563.0,557.0,560.0,8300.0,52.8,556.6,558.8,556.6
