Date,Open,High,Low,Close,Volume,RSI14,MA5,MA25,MA75
2025-09-17,3727.3,3744.0,3679.5,3717.8,256047.0,,,,
2025-09-18,3692.5,3707.3,3660.5,3678.3,224128.0,,,,
2025-09-19,3677.7,3719.6,3664.4,3705.8,186954.0,,,,
2025-09-22,3721.3,3783.3,3718.1,3775.1,219170.0,,,,
2025-09-23,3781.2,3824.6,3772.4,3815.7,291564.0,,3738.5,,
2025-09-24,3796.9,3812.6,3749.7,3768.1,236560.0,,3748.6,,
2025-09-25,3768.3,3792.3,3751.9,3771.1,262183.0,,3767.2,,
2025-09-26,3781.5,3814.4,3764.0,3809.0,214083.0,,3787.8,,
2025-09-29,3788.8,3863.7,3785.5,3855.2,258145.0,,3803.8,,
2025-09-30,3863.1,3899.2,3820.6,3873.2,312257.0,,3815.3,,
2025-10-01,3887.7,3922.7,3880.3,3897.5,290470.0,,3841.2,,
2025-10-02,3892.7,3923.3,3842.8,3868.1,284217.0,,3860.6,,
2025-10-03,3880.4,3916.8,3861.1,3908.9,218284.0,,3880.6,,
2025-10-06,3913.5,3994.5,3909.2,3976.3,278143.0,,3904.8,,
2025-10-07,3983.0,4014.6,3963.4,4004.4,297512.0,51.2,3931.0,,
2025-10-08,4007.1,4081.0,4005.6,4070.5,348778.0,57.0,3965.6,,
2025-10-09,4061.8,4077.9,3957.9,3972.6,461023.0,47.9,3986.5,,
2025-10-10,3990.1,4038.6,3961.2,4000.4,357542.0,50.3,4004.8,,
2025-10-13,4018.3,4137.2,4011.3,4133.0,357542.0,59.9,4036.2,,
2025-10-14,4130.9,4190.9,4105.0,4163.4,405991.0,61.7,4068.0,,
2025-10-15,4160.1,4235.8,4157.3,4201.6,309914.0,63.9,4094.2,,
2025-10-16,4225.1,4346.7,4214.5,4304.6,375196.0,69.1,4160.6,,
2025-10-17,4348.1,4392.0,4196.0,4213.3,569847.0,60.8,4203.2,,
2025-10-20,4269.0,4398.0,4229.7,4359.4,338235.0,67.5,4248.5,,
2025-10-21,4371.0,4393.6,4093.0,4109.1,535325.0,51.2,4237.6,3958.1,
2025-10-22,4137.0,4175.0,4021.2,4065.4,468711.0,49.0,4210.4,3972.0,
2025-10-23,4114.8,4171.5,4079.6,4145.6,271973.0,53.0,4178.6,3990.7,
2025-10-24,4144.0,4159.0,4055.7,4137.8,297599.0,52.6,4163.5,4008.0,
2025-10-27,4103.2,4123.8,3985.9,4019.7,330749.0,46.4,4095.5,4017.8,
2025-10-28,3999.9,4034.2,3901.3,3983.1,338428.0,44.7,4070.3,4024.5,
