ticker,memo,
1605,INPEX,
1615,銀行ETF,
5016,JX金属,
5803,フジクラ,
6702,富士通,
6723,ルネサス,
7011,三菱重工,
8136,サンリオ,
9509,北海道電力,
4092,日本化学工業,
8285,三谷産業,
8628,松井証券,
